name,manufacturer,type,image,checklist category,phase,item,expectedState,notes
C208B Sample,Unknown,GA,,Normal Checklist,Descent,Pitot/static heat,On if OAT < 4°C,
C208B Sample,Unknown,GA,,Normal Checklist,Descent,NS/FSB,As required,
C208B Sample,Unknown,GA,,Normal Checklist,Descent,Altimeter,Set,
C208B Sample,Unknown,GA,,Normal Checklist,Descent,GPS/Nav switch,Set,
C208B Sample,Unknown,GA,,Normal Checklist,Descent,Power,As required,
C208B Sample,Unknown,GA,,Normal Checklist,Before Landing,"Seats, belts, harnesses",Secure,
C208B Sample,Unknown,GA,,Normal Checklist,Before Landing,Fuel selectors,"L on, R on",
C208B Sample,Unknown,GA,,Normal Checklist,Before Landing,Fuel condition lever,High idle,
C208B Sample,Unknown,GA,,Normal Checklist,Before Landing,Propeller control lever,Max (forward),
C208B Sample,Unknown,GA,,Normal Checklist,Before Landing,Radar,Standby/Off,
C208B Sample,Unknown,GA,,Normal Checklist,Before Landing,Autopilot,Off,
C208B Sample,Unknown,GA,,Normal Checklist,Before Landing,Wing flaps,As desired,
C208B Sample,Unknown,GA,,Normal Checklist,Normal Landing,Flaps,Full,
C208B Sample,Unknown,GA,,Normal Checklist,Normal Landing,Airspeed,75-85 KIAS,
C208B Sample,Unknown,GA,,Normal Checklist,Normal Landing,Touchdown,Main wheels first,
C208B Sample,Unknown,GA,,Normal Checklist,Normal Landing,Power,Beta after touchdown,
C208B Sample,Unknown,GA,,Normal Checklist,Normal Landing,Brakes,As required,
C208B Sample,Unknown,GA,,Normal Checklist,Normal Landing,Note,Remove reverse before 25 kts,
C208B Sample,Unknown,GA,,Normal Checklist,Short Field Landing,Flaps,Full,
C208B Sample,Unknown,GA,,Normal Checklist,Short Field Landing,Airspeed,78 KIAS at MAUW (see p.1),
C208B Sample,Unknown,GA,,Normal Checklist,Short Field Landing,Power,Idle after clearing obstacles,
C208B Sample,Unknown,GA,,Normal Checklist,Short Field Landing,Power,Beta (against spring) after touchdown,
C208B Sample,Unknown,GA,,Normal Checklist,Short Field Landing,Brakes,Heavy braking with full up elevator,
C208B Sample,Unknown,GA,,Normal Checklist,Short Field Landing,Wing flaps,Retract if at light weight,
C208B Sample,Unknown,GA,,Normal Checklist,Short Field Landing,Note,Remove reverse before 25 kts,
C208B Sample,Unknown,GA,,Normal Checklist,Balked Landing,Power,Full takeoff power,
C208B Sample,Unknown,GA,,Normal Checklist,Balked Landing,Flaps,20°,
C208B Sample,Unknown,GA,,Normal Checklist,Balked Landing,Airspeed,80 KIAS min. until obstacles are cleared,
C208B Sample,Unknown,GA,,Normal Checklist,Balked Landing,Flaps,Retract at safe altitude and airspeed,
C208B Sample,Unknown,GA,,Normal Checklist,After Landing,Flaps,Up,
C208B Sample,Unknown,GA,,Normal Checklist,After Landing,Ice protection,Off,
C208B Sample,Unknown,GA,,Normal Checklist,After Landing,Strobes,Off,
C208B Sample,Unknown,GA,,Normal Checklist,After Landing,Landing and taxi lights,As required,
